5s: 0 runs so far, 0 failures, 10 active
10s: 0 runs so far, 0 failures, 10 active
15s: 0 runs so far, 0 failures, 10 active
20s: 0 runs so far, 0 failures, 10 active
25s: 0 runs so far, 0 failures, 10 active
30s: 0 runs so far, 0 failures, 10 active
35s: 0 runs so far, 0 failures, 10 active
40s: 9 runs so far, 0 failures, 10 active
45s: 10 runs so far, 0 failures, 10 active
50s: 10 runs so far, 0 failures, 10 active
55s: 10 runs so far, 0 failures, 10 active
1m0s: 10 runs so far, 0 failures, 10 active
1m5s: 10 runs so far, 0 failures, 10 active
1m10s: 14 runs so far, 0 failures, 10 active
1m15s: 19 runs so far, 0 failures, 10 active
1m20s: 20 runs so far, 0 failures, 10 active
1m25s: 20 runs so far, 0 failures, 10 active
1m30s: 20 runs so far, 0 failures, 10 active
1m35s: 20 runs so far, 0 failures, 10 active
1m40s: 20 runs so far, 0 failures, 10 active
1m45s: 21 runs so far, 0 failures, 10 active
1m50s: 28 runs so far, 0 failures, 10 active
1m55s: 30 runs so far, 0 failures, 10 active
2m0s: 30 runs so far, 0 failures, 10 active
2m5s: 30 runs so far, 0 failures, 10 active
2m10s: 30 runs so far, 0 failures, 10 active
2m15s: 30 runs so far, 0 failures, 10 active
2m20s: 31 runs so far, 0 failures, 10 active
2m25s: 35 runs so far, 0 failures, 10 active
2m30s: 38 runs so far, 0 failures, 10 active
2m35s: 40 runs so far, 0 failures, 10 active
2m40s: 40 runs so far, 0 failures, 10 active
2m45s: 40 runs so far, 0 failures, 10 active
2m50s: 40 runs so far, 0 failures, 10 active
2m55s: 43 runs so far, 0 failures, 10 active
3m0s: 45 runs so far, 0 failures, 10 active
3m5s: 48 runs so far, 0 failures, 10 active
3m10s: 49 runs so far, 0 failures, 10 active
3m15s: 50 runs so far, 0 failures, 10 active
3m20s: 50 runs so far, 0 failures, 10 active
3m25s: 50 runs so far, 0 failures, 10 active
3m30s: 53 runs so far, 0 failures, 10 active
3m35s: 55 runs so far, 0 failures, 10 active
3m40s: 57 runs so far, 0 failures, 10 active
3m45s: 58 runs so far, 0 failures, 10 active
3m50s: 59 runs so far, 0 failures, 10 active
3m55s: 60 runs so far, 0 failures, 10 active
4m0s: 61 runs so far, 0 failures, 10 active
4m5s: 62 runs so far, 0 failures, 10 active
4m10s: 64 runs so far, 0 failures, 10 active
4m15s: 67 runs so far, 0 failures, 10 active
4m20s: 68 runs so far, 0 failures, 10 active
4m25s: 68 runs so far, 0 failures, 10 active
4m30s: 70 runs so far, 0 failures, 10 active
4m35s: 70 runs so far, 0 failures, 10 active
4m40s: 71 runs so far, 0 failures, 10 active
4m45s: 73 runs so far, 0 failures, 10 active
4m50s: 76 runs so far, 0 failures, 10 active
4m55s: 78 runs so far, 0 failures, 10 active
5m0s: 78 runs so far, 0 failures, 10 active
5m5s: 80 runs so far, 0 failures, 10 active
5m10s: 80 runs so far, 0 failures, 10 active
5m15s: 81 runs so far, 0 failures, 10 active
5m20s: 83 runs so far, 0 failures, 10 active
5m25s: 85 runs so far, 0 failures, 10 active
5m30s: 88 runs so far, 0 failures, 10 active
5m35s: 88 runs so far, 0 failures, 10 active
5m40s: 89 runs so far, 0 failures, 10 active
5m45s: 90 runs so far, 0 failures, 10 active
5m50s: 90 runs so far, 0 failures, 10 active
5m55s: 91 runs so far, 0 failures, 10 active
6m0s: 94 runs so far, 0 failures, 10 active
6m5s: 97 runs so far, 0 failures, 10 active
6m10s: 98 runs so far, 0 failures, 10 active
6m15s: 98 runs so far, 0 failures, 10 active
6m20s: 99 runs so far, 0 failures, 10 active
6m25s: 100 runs so far, 0 failures, 10 active
6m30s: 100 runs so far, 0 failures, 10 active
6m35s: 104 runs so far, 0 failures, 10 active
6m40s: 105 runs so far, 0 failures, 10 active
6m45s: 107 runs so far, 0 failures, 10 active
6m50s: 108 runs so far, 0 failures, 10 active
6m55s: 108 runs so far, 0 failures, 10 active
7m0s: 109 runs so far, 0 failures, 10 active
7m5s: 110 runs so far, 0 failures, 10 active
7m10s: 112 runs so far, 0 failures, 10 active
7m15s: 114 runs so far, 0 failures, 10 active
7m20s: 116 runs so far, 0 failures, 10 active
7m25s: 118 runs so far, 0 failures, 10 active
7m30s: 118 runs so far, 0 failures, 10 active
7m35s: 118 runs so far, 0 failures, 10 active
7m40s: 120 runs so far, 0 failures, 10 active
7m45s: 120 runs so far, 0 failures, 10 active
7m50s: 122 runs so far, 0 failures, 10 active
7m55s: 125 runs so far, 0 failures, 10 active
8m0s: 126 runs so far, 0 failures, 10 active
8m5s: 128 runs so far, 0 failures, 10 active
8m10s: 128 runs so far, 0 failures, 10 active
8m15s: 128 runs so far, 0 failures, 10 active
8m20s: 130 runs so far, 0 failures, 10 active
8m25s: 132 runs so far, 0 failures, 10 active
8m30s: 134 runs so far, 0 failures, 10 active
8m35s: 135 runs so far, 0 failures, 10 active
8m40s: 137 runs so far, 0 failures, 10 active
8m45s: 138 runs so far, 0 failures, 10 active
8m50s: 138 runs so far, 0 failures, 10 active
8m55s: 140 runs so far, 0 failures, 10 active
9m0s: 140 runs so far, 0 failures, 10 active
9m5s: 142 runs so far, 0 failures, 10 active
9m10s: 145 runs so far, 0 failures, 10 active
9m15s: 145 runs so far, 0 failures, 10 active
9m20s: 146 runs so far, 0 failures, 10 active
9m25s: 147 runs so far, 0 failures, 10 active
9m30s: 148 runs so far, 0 failures, 10 active
9m35s: 150 runs so far, 0 failures, 10 active
9m40s: 150 runs so far, 0 failures, 10 active
9m45s: 153 runs so far, 0 failures, 10 active
9m50s: 155 runs so far, 0 failures, 10 active
9m55s: 155 runs so far, 0 failures, 10 active
10m0s: 157 runs so far, 0 failures, 10 active
10m5s: 157 runs so far, 0 failures, 10 active
10m10s: 158 runs so far, 0 failures, 10 active
10m15s: 160 runs so far, 0 failures, 10 active
10m20s: 163 runs so far, 0 failures, 10 active
10m25s: 163 runs so far, 0 failures, 10 active
10m30s: 165 runs so far, 0 failures, 10 active
10m35s: 165 runs so far, 0 failures, 10 active
10m40s: 167 runs so far, 0 failures, 10 active
10m45s: 168 runs so far, 0 failures, 10 active
10m50s: 170 runs so far, 0 failures, 10 active
10m55s: 171 runs so far, 0 failures, 10 active
11m0s: 173 runs so far, 0 failures, 10 active
11m5s: 174 runs so far, 0 failures, 10 active
11m10s: 175 runs so far, 0 failures, 10 active
11m15s: 177 runs so far, 0 failures, 10 active
11m20s: 177 runs so far, 0 failures, 10 active
11m25s: 179 runs so far, 0 failures, 10 active
11m30s: 180 runs so far, 0 failures, 10 active
11m35s: 181 runs so far, 0 failures, 10 active
11m40s: 183 runs so far, 0 failures, 10 active
11m45s: 184 runs so far, 0 failures, 10 active
11m50s: 187 runs so far, 0 failures, 10 active
11m55s: 187 runs so far, 0 failures, 10 active
12m0s: 188 runs so far, 0 failures, 10 active
12m5s: 190 runs so far, 0 failures, 10 active
12m10s: 190 runs so far, 0 failures, 10 active
12m15s: 191 runs so far, 0 failures, 10 active
12m20s: 193 runs so far, 0 failures, 10 active
12m25s: 194 runs so far, 0 failures, 10 active
12m30s: 197 runs so far, 0 failures, 10 active
12m35s: 197 runs so far, 0 failures, 10 active
12m40s: 197 runs so far, 0 failures, 10 active
12m45s: 200 runs so far, 0 failures, 10 active
12m50s: 201 runs so far, 0 failures, 10 active
12m55s: 203 runs so far, 0 failures, 10 active
13m0s: 204 runs so far, 0 failures, 10 active
13m5s: 205 runs so far, 0 failures, 10 active
13m10s: 207 runs so far, 0 failures, 10 active
13m15s: 207 runs so far, 0 failures, 10 active
13m20s: 208 runs so far, 0 failures, 10 active
13m25s: 209 runs so far, 0 failures, 10 active
13m30s: 210 runs so far, 0 failures, 10 active
13m35s: 213 runs so far, 0 failures, 10 active
13m40s: 213 runs so far, 0 failures, 10 active
13m45s: 216 runs so far, 0 failures, 10 active
13m50s: 217 runs so far, 0 failures, 10 active
13m55s: 217 runs so far, 0 failures, 10 active
14m0s: 217 runs so far, 0 failures, 10 active
14m5s: 220 runs so far, 0 failures, 10 active
14m10s: 222 runs so far, 0 failures, 10 active
14m15s: 223 runs so far, 0 failures, 10 active
14m20s: 223 runs so far, 0 failures, 10 active
14m25s: 227 runs so far, 0 failures, 10 active
14m30s: 227 runs so far, 0 failures, 10 active
14m35s: 227 runs so far, 0 failures, 10 active
14m40s: 228 runs so far, 0 failures, 10 active
14m45s: 229 runs so far, 0 failures, 10 active
14m50s: 232 runs so far, 0 failures, 10 active
14m55s: 233 runs so far, 0 failures, 10 active
15m0s: 235 runs so far, 0 failures, 10 active
15m5s: 236 runs so far, 0 failures, 10 active
15m10s: 237 runs so far, 0 failures, 10 active
15m15s: 238 runs so far, 0 failures, 10 active
15m20s: 238 runs so far, 0 failures, 10 active
15m25s: 241 runs so far, 0 failures, 10 active
15m30s: 242 runs so far, 0 failures, 10 active
15m35s: 244 runs so far, 0 failures, 10 active
15m40s: 245 runs so far, 0 failures, 10 active
15m45s: 246 runs so far, 0 failures, 10 active
15m50s: 247 runs so far, 0 failures, 10 active
15m55s: 248 runs so far, 0 failures, 10 active
16m0s: 248 runs so far, 0 failures, 10 active
16m5s: 251 runs so far, 0 failures, 10 active
16m10s: 253 runs so far, 0 failures, 10 active
16m15s: 255 runs so far, 0 failures, 10 active
16m20s: 255 runs so far, 0 failures, 10 active
16m25s: 257 runs so far, 0 failures, 10 active
16m30s: 257 runs so far, 0 failures, 10 active
16m35s: 258 runs so far, 0 failures, 10 active
16m40s: 260 runs so far, 0 failures, 10 active
16m45s: 261 runs so far, 0 failures, 10 active
16m50s: 264 runs so far, 0 failures, 10 active
16m55s: 264 runs so far, 0 failures, 10 active
17m0s: 266 runs so far, 0 failures, 10 active
17m5s: 266 runs so far, 0 failures, 10 active
17m10s: 267 runs so far, 0 failures, 10 active
17m15s: 268 runs so far, 0 failures, 10 active
17m20s: 271 runs so far, 0 failures, 10 active
17m25s: 273 runs so far, 0 failures, 10 active
17m30s: 274 runs so far, 0 failures, 10 active
17m35s: 275 runs so far, 0 failures, 10 active
17m40s: 277 runs so far, 0 failures, 10 active
17m45s: 277 runs so far, 0 failures, 10 active
17m50s: 278 runs so far, 0 failures, 10 active
17m55s: 279 runs so far, 0 failures, 10 active
18m0s: 280 runs so far, 0 failures, 10 active
18m5s: 284 runs so far, 0 failures, 10 active
18m10s: 284 runs so far, 0 failures, 10 active
18m15s: 285 runs so far, 0 failures, 10 active
18m20s: 287 runs so far, 0 failures, 10 active
18m25s: 287 runs so far, 0 failures, 10 active
18m30s: 289 runs so far, 0 failures, 10 active
18m35s: 289 runs so far, 0 failures, 10 active
18m40s: 293 runs so far, 0 failures, 10 active
18m45s: 294 runs so far, 0 failures, 10 active
18m50s: 295 runs so far, 0 failures, 10 active
18m55s: 296 runs so far, 0 failures, 10 active
19m0s: 296 runs so far, 0 failures, 10 active
19m5s: 298 runs so far, 0 failures, 10 active
19m10s: 299 runs so far, 0 failures, 10 active
19m15s: 300 runs so far, 0 failures, 10 active
19m20s: 302 runs so far, 0 failures, 10 active
19m25s: 305 runs so far, 0 failures, 10 active
19m30s: 305 runs so far, 0 failures, 10 active
19m35s: 306 runs so far, 0 failures, 10 active
19m40s: 307 runs so far, 0 failures, 10 active
19m45s: 309 runs so far, 0 failures, 10 active
19m50s: 310 runs so far, 0 failures, 10 active
19m55s: 312 runs so far, 0 failures, 10 active
20m0s: 314 runs so far, 0 failures, 10 active
20m5s: 314 runs so far, 0 failures, 10 active
20m10s: 315 runs so far, 0 failures, 10 active
20m15s: 316 runs so far, 0 failures, 10 active
20m20s: 317 runs so far, 0 failures, 10 active
20m25s: 319 runs so far, 0 failures, 10 active
